Species_BirdTree,Wing.Length,Secondary1,Hand.Wing.Index,Hand.Wing.Area,Data.type,Total.wing.area,Wingspan,Wing.aspect.ratio,Source_Total.wing.area_Wingspan,Max.Elevation.1,Source_Max.Elevation.1,Max.Elevation.2,Source_Max.Elevation.2,Min.Elevation.1,Source_Min.Elevation.1,Min.Elevation.2,Source_Min.Elevation.2,Mean.Elevation.1,Mean.Elevation.2,Centroid.latitude,Max.latitude,Min.latitude,Temp. seasonality,Habitat.Openness,Body.Mass,Flight.Mode,Aerial.Lifestyle,Aerial.Lifestyle.Certainty,Migration,Trophic.Level,Habitat.type
Avocettula recurvirostris,55.8,22.5,58.9,1972.13,Observed,NA,NA,NA,NA,800,del Hoyo (2020),1200,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),400,600,-2.08,10.32,0.00,70.13,2,4.2,flapping,3,A,1,1ry consumer,Terrestrial
Aythya affinis,198.2,97.0,51.0,30199.19,Observed,47200.00,740.00,11.60,Viscor et al. (1987),2900,del Hoyo (2020),2900,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1450,1450,56.73,69.18,36.75,1152.40,3,819.5,flapping,2,A,3,1ry consumer,Terrestrial
Aythya americana,218.6,122.4,46.0,42029.23,Observed,NA,NA,NA,NA,2200,del Hoyo (2020),2300,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020),1100,1150,48.31,67.18,18.51,992.73,3,1075.7,flapping,2,A,3,1ry consumer,Terrestrial
Aythya australis,213.6,113.2,47.0,37981.10,Observed,NA,NA,NA,NA,1150,Quintero et al. (2018),1150,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),575,575,-25.55,43.64,10.69,482.35,3,869.4,flapping,2,B,1,2ry consumer,Terrestrial
Aythya baeri,201.8,102.2,48.8,32396.04,Observed,NA,NA,NA,NA,1400,del Hoyo (2020),1400,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),700,700,49.45,59.15,42.21,1483.45,3,681.2,flapping,2,B,3,1ry consumer,Terrestrial
Aythya collaris,194.8,99.4,48.2,30415.52,Observed,46000.00,710.00,10.96,Viscor et al. (1987),4000,del Hoyo (2020),4000,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),2000,2000,52.28,68.13,10.04,1106.85,3,704.6,flapping,2,B,3,1ry consumer,Terrestrial
Aythya ferina,208.6,104.2,50.1,34143.02,Observed,64285.50,754.71,8.86,Bruderer et al. (2010); Malo et al. (2021); Viscor et al. (1987); Shiomi et al. (2024),800,Quintero et al. (2018),800,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),400,400,53.5,66.67,33.87,1174.56,3,823.0,flapping,2,A,1,1ry consumer,Terrestrial
Aythya fuligula,196.9,98.6,50.1,30495.97,Observed,60849.76,759.52,9.48,Bruderer et al. (2010); Malo et al. (2021); Viscor et al. (1987); Shiomi et al. (2024),3400,del Hoyo (2020),3400,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1700,1700,57.84,71.46,39.92,1281.24,3,701.2,flapping,2,B,2,1ry consumer,Terrestrial
Aythya innotata,187.2,98.3,46.9,28905.42,Observed,NA,NA,NA,NA,1500,White et al. (2015),1500,White et al. (2015); Quintero et al. (2018),750,White et al. (2015),750,White et al. (2015); Quintero et al. (2018),1125,1125,-14.36,14.49,14.24,134.37,3,685.0,flapping,2,B,1,1ry consumer,Terrestrial
Aythya marila,213.5,108.9,48.9,36521.25,Observed,62100.00,796.33,10.21,Malo et al. (2021); Viscor et al. (1987); Shiomi et al. (2024),1400,del Hoyo (2020),1750,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),700,875,64.6,74.67,46.75,1382.43,3,1005.4,flapping,2,A,3,1ry consumer,Terrestrial
Aythya novaeseelandiae,177.0,91.7,48.2,25495.44,Observed,NA,NA,NA,NA,1000,White et al. (2015),1000,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),500,500,-42.12,47.29,34.53,340.08,3,682.0,flapping,2,B,2,1ry consumer,Terrestrial
Aythya nyroca,182.5,93.2,48.9,26717.67,Observed,51200.00,680.00,9.03,Viscor et al. (1987),4200,del Hoyo (2020),4200,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),2100,2100,46.16,57.76,23.54,1003.89,3,574.0,flapping,2,B,3,1ry consumer,Terrestrial
Aythya valisineria,223.5,130.1,42.0,45674.59,Observed,NA,NA,NA,NA,1100,del Hoyo (2020),1500,Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),550,750,57,69.38,37.03,1162.93,3,1202.0,flapping,2,B,3,1ry consumer,Terrestrial
Babax koslowi,126.0,118.1,6.2,23374.39,Observed,NA,NA,NA,NA,4500,White et al. (2015),4500,White et al. (2015); Quintero et al. (2018),3650,White et al. (2015),3650,White et al. (2015); Quintero et al. (2018),4075,4075,31.66,33.29,29.28,920.05,2,112.5,flapping,1,A,1,1ry consumer,Terrestrial
Babax lanceolatus,101.4,94.4,7.1,15035.91,Observed,NA,NA,NA,NA,4265,White et al. (2015),4265,White et al. (2015); Quintero et al. (2018),350,White et al. (2015),350,White et al. (2015); Quintero et al. (2018),2307.5,2307.5,27.67,35.55,20.70,627.03,2,80.5,flapping,1,A,1,1ry consumer,Terrestrial
Babax waddelli,130.0,120.7,7.2,24647.37,Observed,NA,NA,NA,NA,4600,White et al. (2015),4600,White et al. (2015); Quintero et al. (2018),2800,White et al. (2015),2800,White et al. (2015); Quintero et al. (2018),3700,3700,29.29,30.59,28.05,717.37,2,142.0,flapping,1,A,1,1ry consumer,Terrestrial
Baeolophus atricristatus,72.0,61.4,14.6,6944.18,Observed,NA,NA,NA,NA,1675,Quintero et al. (2018),1675,Quintero et al. (2018),750,Quintero et al. (2018),750,Quintero et al. (2018),1212.5,1212.5,28.82,35.96,18.33,602.05,2,17.5,flapping,1,B,1,1ry consumer,Terrestrial
Baeolophus bicolor,77.9,65.2,16.1,7978.20,Observed,11780.00,NA,NA,Viscor et al. (1987),1500,Quintero et al. (2018),1500,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),750,750,36.97,45.77,25.84,806.08,1,21.6,flapping,1,A,1,2ry consumer,Terrestrial
Baeolophus inornatus,68.0,57.4,14.4,6131.13,Observed,NA,NA,NA,NA,2440,Quintero et al. (2018),2440,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1220,1220,36.05,42.88,22.99,543.98,2,15.9,flapping,1,B,1,1ry consumer,Terrestrial
Baeolophus ridgwayi,72.5,64.8,10.5,7379.60,Observed,NA,NA,NA,NA,2440,Quintero et al. (2018),2440,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1220,1220,37.9,43.74,31.00,879.76,2,15.9,flapping,1,A,1,1ry consumer,Terrestrial
Baeolophus wollweberi,64.0,53.5,16.5,5378.41,Observed,NA,NA,NA,NA,3200,Quintero et al. (2018),3200,Quintero et al. (2018),560,Quintero et al. (2018),560,Quintero et al. (2018),1880,1880,24.87,34.49,16.14,387.40,2,10.4,flapping,1,B,1,2ry consumer,Terrestrial
Baeopogon clamans,97.8,81.0,17.2,12443.53,Observed,NA,NA,NA,NA,1500,White et al. (2015),1500,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),750,750,1.03,6.52,0.00,71.33,1,45.8,flapping,1,A,1,1ry consumer,Terrestrial
Baeopogon indicator,98.2,81.9,16.5,12633.26,Observed,NA,NA,NA,NA,2000,White et al. (2015),2000,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1000,1000,-0.02,11.61,0.00,82.59,1,45.8,flapping,1,A,1,1ry consumer,Terrestrial
Balaeniceps rex,642.2,404.0,36.7,407541.22,Observed,NA,NA,NA,NA,1300,Quintero et al. (2018),1300,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),650,650,-0.96,12.61,0.00,130.77,3,5941.0,soaring,1,A,1,2ry consumer,Terrestrial
Balearica pavonina,543.4,353.2,35.6,301481.18,Observed,NA,NA,NA,NA,3000,Quintero et al. (2018),3000,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1500,1500,10.72,17.06,3.55,228.73,3,3590.0,soaring,2,B,1,1ry consumer,Terrestrial
Balearica regulorum,569.0,352.2,38.0,314790.41,Observed,NA,NA,NA,NA,1500,Quintero et al. (2018),1500,Quintero et al. (2018),750,Quintero et al. (2018),750,Quintero et al. (2018),1125,1125,-12.26,33.78,0.00,208.76,3,3772.0,soaring,2,A,1,1ry consumer,Terrestrial
Bambusicola fytchii,142.8,115.0,18.5,25795.62,Observed,NA,NA,NA,NA,3000,White et al. (2015),3000,White et al. (2015); Quintero et al. (2018),500,White et al. (2015),500,White et al. (2015); Quintero et al. (2018),1750,1750,22.96,27.85,17.70,338.60,2,313.7,flapping,1,A,1,1ry consumer,Terrestrial
Bambusicola thoracicus,128.9,100.3,22.0,20308.31,Observed,NA,NA,NA,NA,2000,Quintero et al. (2018),2000,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1000,1000,28.37,33.13,21.90,731.57,2,264.8,flapping,1,A,1,1ry consumer,Terrestrial
Bangsia arcaei,86.8,63.3,26.6,8630.65,Observed,NA,NA,NA,NA,1200,White et al. (2015),1200,White et al. (2015); Quintero et al. (2018),300,White et al. (2015),300,White et al. (2015); Quintero et al. (2018),750,750,9.39,10.85,7.97,70.53,1,37.2,flapping,1,A,1,1ry consumer,Terrestrial
Bangsia aureocincta,89.8,70.0,22.1,9874.03,Observed,NA,NA,NA,NA,2200,White et al. (2015),2200,White et al. (2015); Quintero et al. (2018),1600,White et al. (2015),1600,White et al. (2015); Quintero et al. (2018),1900,1900,5.68,6.71,4.86,22.20,1,41.7,flapping,1,A,1,1ry consumer,Terrestrial
Bangsia edwardsi,90.0,69.4,22.9,9811.19,Observed,NA,NA,NA,NA,2100,White et al. (2015),2100,White et al. (2015),400,White et al. (2015),400,White et al. (2015),1250,1250,1.71,3.78,0.00,29.70,1,37.0,flapping,1,B,1,1ry consumer,Terrestrial
Bangsia melanochlamys,88.5,70.5,20.4,9800.59,Observed,NA,NA,NA,NA,2300,del Hoyo (2020),2300,del Hoyo (2020),1000,del Hoyo (2020),1000,del Hoyo (2020); White et al. (2015),1650,1650,5.98,7.67,3.90,23.92,1,37.2,flapping,1,B,1,1ry consumer,Terrestrial
Bangsia rothschildi,88.0,68.3,22.3,9441.11,Observed,NA,NA,NA,NA,1100,White et al. (2015),1100,White et al. (2015); Quintero et al. (2018),150,White et al. (2015),150,White et al. (2015); Quintero et al. (2018),625,625,3.13,5.77,0.67,27.88,1,48.5,flapping,1,B,1,1ry consumer,Terrestrial
Barnardius zonarius,169.2,98.2,41.2,26099.47,Observed,NA,NA,NA,NA,800,Quintero et al. (2018),800,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),400,400,-27.28,38.86,15.93,539.65,2,133.0,flapping,2,A,1,1ry consumer,Terrestrial
Bartramia longicauda,159.0,74.8,52.9,18681.79,Observed,NA,NA,NA,NA,4000,del Hoyo (2020),4000,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),2000,2000,49.36,69.33,35.81,1057.71,3,158.9,flapping,2,B,3,2ry consumer,Terrestrial
Baryphthengus martii,150.7,126.6,16.1,29968.63,Observed,NA,NA,NA,NA,2700,del Hoyo (2020),2700,del Hoyo (2020),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1350,1350,-6.17,18.13,0.00,64.93,1,165.0,flapping,1,A,1,2ry consumer,Terrestrial
Baryphthengus ruficapillus,141.4,117.8,16.0,26164.63,Observed,NA,NA,NA,NA,1200,White et al. (2015),1200,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),600,600,-21.49,29.40,14.01,221.09,1,141.7,flapping,1,A,1,2ry consumer,Terrestrial
Basileuterus basilicus,65.0,53.7,17.4,5482.86,Observed,NA,NA,NA,NA,3000,White et al. (2015),3000,White et al. (2015),2100,White et al. (2015),2100,White et al. (2015),2550,2550,10.84,11.17,10.50,55.77,1,16.2,flapping,1,A,1,2ry consumer,Terrestrial
Basileuterus belli,59.7,50.5,14.9,4735.72,Observed,NA,NA,NA,NA,3500,White et al. (2015),3500,White et al. (2015); Quintero et al. (2018),1200,White et al. (2015),1200,White et al. (2015); Quintero et al. (2018),2350,2350,18.67,25.69,13.60,182.97,1,10.7,flapping,1,A,1,2ry consumer,Terrestrial
Basileuterus bivittatus,64.7,55.4,14.3,5630.33,Observed,NA,NA,NA,NA,1800,White et al. (2015),1800,White et al. (2015); Quintero et al. (2018),700,White et al. (2015),700,White et al. (2015); Quintero et al. (2018),1250,1250,-6.8,24.18,0.00,124.83,1,14.6,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus chlorophrys,61.0,49.5,18.8,4743.02,Observed,NA,NA,NA,NA,1200,Quintero et al. (2018),1200,Quintero et al. (2018),300,Quintero et al. (2018),300,Quintero et al. (2018),750,750,1.76,5.39,0.00,32.68,1,16.2,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus chrysogaster,61.2,51.3,16.3,4931.61,Observed,NA,NA,NA,NA,1200,White et al. (2015),1200,White et al. (2015); Quintero et al. (2018),300,White et al. (2015),300,White et al. (2015); Quintero et al. (2018),750,750,-11.98,14.87,6.86,81.40,1,11.2,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus cinereicollis,62.5,51.2,18.2,5026.55,Observed,NA,NA,NA,NA,2100,White et al. (2015),2100,White et al. (2015); Quintero et al. (2018),800,White et al. (2015),600,Quintero et al. (2018),1450,1350,7.38,10.73,4.25,49.55,1,17.2,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus conspicillatus,64.6,55.3,14.4,5611.48,Observed,NA,NA,NA,NA,2200,White et al. (2015),2200,White et al. (2015),450,White et al. (2015),450,White et al. (2015),1325,1325,10.83,11.28,10.16,58.50,1,13.7,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus coronatus,68.3,58.6,14.4,6286.92,Observed,NA,NA,NA,NA,3100,White et al. (2015),3200,Quintero et al. (2018),1300,White et al. (2015),1100,Quintero et al. (2018),2200,2150,-3.64,17.73,0.00,68.55,1,16.3,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus culicivorus,58.5,48.7,16.2,4475.12,Observed,NA,NA,NA,NA,2150,White et al. (2015),2150,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1075,1075,-13.77,34.98,0.00,187.30,1,10.5,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus flaveolus,66.3,56.1,12.5,5842.47,Observed,NA,NA,NA,NA,1350,White et al. (2015),1350,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),675,675,-13.08,25.92,0.00,133.44,1,13.2,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus fraseri,65.0,56.1,13.7,5727.91,Observed,NA,NA,NA,NA,2100,White et al. (2015),2100,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1050,1050,-2.4,6.32,0.00,80.11,2,11.6,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus griseiceps,62.1,54.0,13.1,5267.51,Observed,NA,NA,NA,NA,2440,White et al. (2015),2440,White et al. (2015); Quintero et al. (2018),1200,White et al. (2015),1200,White et al. (2015); Quintero et al. (2018),1820,1820,10.11,10.27,9.95,65.80,1,13.0,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus hypoleucus,58.2,50.6,13.4,4625.87,Observed,NA,NA,NA,NA,1000,White et al. (2015),1000,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),500,500,-17.75,23.84,9.00,153.00,2,11.4,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus ignotus,55.0,48.0,12.6,4146.90,Observed,NA,NA,NA,NA,1700,del Hoyo (2020),2000,Quintero et al. (2018),1200,del Hoyo (2020),1200,del Hoyo (2020); White et al. (2015); Quintero et al. (2018),1450,1600,8.06,8.25,7.77,28.83,1,10.9,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus leucoblepharus,64.4,54.2,15.9,5482.83,Observed,NA,NA,NA,NA,1600,White et al. (2015),1600,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),800,800,-27.16,34.98,19.72,341.79,1,15.1,flapping,1,A,1,2ry consumer,Terrestrial
Basileuterus leucophrys,62.6,53.3,14.9,5241.09,Observed,NA,NA,NA,NA,1000,White et al. (2015),1000,White et al. (2015); Quintero et al. (2018),83,Quintero et al. (2018),83,Quintero et al. (2018),541.5,541.5,-17.37,22.77,11.17,138.54,1,18.1,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus luteoviridis,66.5,57.5,13.4,6006.33,Observed,NA,NA,NA,NA,3700,del Hoyo (2020),3700,del Hoyo (2020); Quintero et al. (2018),1900,del Hoyo (2020),1900,del Hoyo (2020),2800,2800,-4.74,17.88,0.00,73.05,1,12.9,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus melanogenys,62.6,54.3,13.9,5339.42,Observed,NA,NA,NA,NA,3500,White et al. (2015),3500,White et al. (2015); Quintero et al. (2018),1600,White et al. (2015),1600,White et al. (2015); Quintero et al. (2018),2550,2550,9.34,10.28,8.50,63.89,1,11.8,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus nigrocristatus,61.5,55.6,9.6,5371.18,Observed,NA,NA,NA,NA,3400,del Hoyo (2020),3500,Quintero et al. (2018),1500,del Hoyo (2020),1500,del Hoyo (2020); White et al. (2015),2450,2500,1.02,11.03,0.00,47.13,2,13.6,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus rufifrons,54.5,45.6,11.8,3903.74,Observed,NA,NA,NA,NA,3000,White et al. (2015),3000,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1500,1500,17.84,30.95,1.82,199.95,2,10.4,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus signatus,58.5,50.5,13.7,4640.53,Observed,NA,NA,NA,NA,3050,White et al. (2015),3050,White et al. (2015); Quintero et al. (2018),1500,White et al. (2015),1500,White et al. (2015); Quintero et al. (2018),2275,2275,-16.71,25.10,10.90,163.77,1,11.3,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus trifasciatus,56.8,48.9,13.8,4362.92,Observed,NA,NA,NA,NA,3000,White et al. (2015),3000,White et al. (2015); Quintero et al. (2018),500,White et al. (2015),500,White et al. (2015),1750,1750,-5.07,7.93,3.40,75.20,1,9.7,flapping,1,B,1,2ry consumer,Terrestrial
Basileuterus tristriatus,61.0,52.9,13.4,5068.80,Observed,NA,NA,NA,NA,2700,White et al. (2015),2700,White et al. (2015); Quintero et al. (2018),300,White et al. (2015),300,White et al. (2015); Quintero et al. (2018),1500,1500,-2.6,18.11,0.00,64.83,1,12.0,flapping,1,B,1,2ry consumer,Terrestrial
Basilornis celebensis,126.4,95.3,24.6,18921.69,Observed,NA,NA,NA,NA,1200,White et al. (2015),1200,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),600,600,-2.15,5.70,0.00,43.61,1,93.0,flapping,2,B,1,1ry consumer,Terrestrial
Basilornis corythaix,135.4,101.4,25.1,21566.34,Observed,NA,NA,NA,NA,900,White et al. (2015),900,White et al. (2015),200,White et al. (2015),200,White et al. (2015),550,550,-3.21,3.88,2.78,45.90,1,126.0,flapping,2,B,1,1ry consumer,Terrestrial
Basilornis galeatus,141.4,100.9,28.6,22410.96,Observed,NA,NA,NA,NA,1000,White et al. (2015),1000,White et al. (2015),0,White et al. (2015),0,White et al. (2015),500,500,-1.71,2.49,1.16,49.07,1,93.0,flapping,2,B,1,1ry consumer,Terrestrial
Basilornis mirandus,118.6,91.2,22.5,16990.24,Observed,NA,NA,NA,NA,2794,Quintero et al. (2018),2794,Quintero et al. (2018),1250,Quintero et al. (2018),1250,Quintero et al. (2018),2022,2022,7.93,8.88,6.93,44.73,1,110.0,flapping,2,C,1,1ry consumer,Terrestrial
Batara cinerea,119.8,113.2,6.6,21302.13,Observed,NA,NA,NA,NA,2600,White et al. (2015),2600,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1300,1300,-25.61,30.30,17.12,300.90,1,131.0,flapping,1,A,1,2ry consumer,Terrestrial
Bathmocercus cerviniventris,57.1,51.6,8.9,4628.13,Observed,NA,NA,NA,NA,700,Quintero et al. (2018),700,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),350,350,7.23,9.37,4.88,94.78,1,15.8,flapping,1,A,1,2ry consumer,Terrestrial
Bathmocercus rufus,56.7,52.9,7.8,4711.49,Observed,NA,NA,NA,NA,2400,White et al. (2015),2400,White et al. (2015); Quintero et al. (2018),300,White et al. (2015),300,White et al. (2015); Quintero et al. (2018),1350,1350,1.69,6.49,0.00,70.89,1,15.4,flapping,1,A,1,2ry consumer,Terrestrial
Bathmocercus winifredae,56.3,51.8,8.1,4580.98,Observed,NA,NA,NA,NA,2350,Quintero et al. (2018),2350,Quintero et al. (2018),1300,Quintero et al. (2018),1300,Quintero et al. (2018),1825,1825,-6.89,7.97,5.91,173.67,1,14.8,flapping,1,B,1,2ry consumer,Terrestrial
Batis capensis,58.8,51.5,13.0,4756.69,Observed,NA,NA,NA,NA,2450,White et al. (2015),2450,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1225,1225,-26.5,34.84,10.28,313.98,2,11.7,flapping,1,A,1,2ry consumer,Terrestrial
Batis crypta,59.7,52.1,12.0,4885.76,Observed,NA,NA,NA,NA,2160,White et al. (2015),2160,White et al. (2015); Quintero et al. (2018),540,White et al. (2015),540,White et al. (2015); Quintero et al. (2018),1350,1350,-9.17,11.54,6.23,189.92,1,12.2,flapping,1,A,1,2ry consumer,Terrestrial
Batis diops,62.7,55.3,11.9,5446.44,Observed,NA,NA,NA,NA,3300,White et al. (2015),3300,White et al. (2015); Quintero et al. (2018),1340,White et al. (2015),1340,White et al. (2015); Quintero et al. (2018),2320,2320,-2.21,5.68,0.00,39.42,1,12.7,flapping,1,B,1,2ry consumer,Terrestrial
Batis fratrum,60.0,53.1,11.5,5004.56,Observed,NA,NA,NA,NA,940,White et al. (2015),940,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),470,470,-21.12,28.80,14.11,252.30,1,11.9,flapping,1,B,1,2ry consumer,Terrestrial
Batis ituriensis,49.5,44.6,9.8,3467.85,Observed,NA,NA,NA,NA,1300,del Hoyo (2020),1300,del Hoyo (2020); White et al. (2015),0,del Hoyo (2020),0,del Hoyo (2020),650,650,1.5,3.69,0.00,70.65,2,10.7,flapping,1,B,1,2ry consumer,Terrestrial
Batis margaritae,64.9,57.5,11.4,5861.82,Observed,NA,NA,NA,NA,2500,Quintero et al. (2018),2500,Quintero et al. (2018),146,Quintero et al. (2018),146,Quintero et al. (2018),1323,1323,-12.55,13.74,11.08,169.80,1,11.7,flapping,1,A,1,2ry consumer,Terrestrial
Batis minima,48.6,44.1,9.2,3366.62,Observed,NA,NA,NA,NA,800,Birds of the World (2022),800,Birds of the World (2022); White et al. (2015),0,Birds of the World (2022),0,Birds of the World (2022),400,400,1.93,5.13,0.00,70.31,1,10.0,flapping,1,A,1,2ry consumer,Terrestrial
Batis minor,58.5,50.9,12.7,4677.28,Observed,NA,NA,NA,NA,3000,del Hoyo (2020),3000,del Hoyo (2020); White et al. (2015),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),1500,1500,3.98,16.35,0.00,141.34,2,12.5,flapping,1,A,1,2ry consumer,Terrestrial
Batis minulla,52.9,46.8,11.7,3888.85,Observed,NA,NA,NA,NA,847,White et al. (2015),847,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),423.5,423.5,-4.71,15.29,0.00,72.63,2,9.9,flapping,1,B,1,2ry consumer,Terrestrial
Batis mixta,60.3,52.4,13.2,4963.28,Observed,NA,NA,NA,NA,2300,White et al. (2015),2300,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),1150,1150,-5.6,10.55,2.72,145.19,2,12.2,flapping,1,A,1,2ry consumer,Terrestrial
Batis molitor,59.8,51.2,14.2,4809.40,Observed,NA,NA,NA,NA,3000,White et al. (2015),3000,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1500,1500,-13,34.10,0.00,206.33,2,11.6,flapping,1,A,1,2ry consumer,Terrestrial
Batis occulta,49.2,43.5,11.6,3361.82,Observed,NA,NA,NA,NA,2500,Quintero et al. (2018),2500,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1250,1250,3.93,7.67,0.21,79.61,2,9.0,flapping,1,A,1,2ry consumer,Terrestrial
Batis orientalis,56.8,49.8,12.2,4443.22,Observed,NA,NA,NA,NA,2100,White et al. (2015),2100,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),1050,1050,10.29,20.79,0.00,237.59,2,11.1,flapping,1,A,1,2ry consumer,Terrestrial
Batis perkeo,51.3,45.0,12.3,3626.18,Observed,NA,NA,NA,NA,1200,White et al. (2015),1200,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),600,600,2.6,8.68,0.00,109.22,2,6.9,flapping,1,A,1,2ry consumer,Terrestrial
Batis poensis,51.2,45.7,10.6,3675.41,Observed,NA,NA,NA,NA,2500,White et al. (2015),2500,White et al. (2015),0,White et al. (2015),0,White et al. (2015),1250,1250,3.49,3.79,3.21,88.49,2,9.6,flapping,1,A,1,2ry consumer,Terrestrial
Batis pririt,53.8,46.4,13.8,3921.21,Observed,NA,NA,NA,NA,1900,Quintero et al. (2018),1900,Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),950,950,-24.92,33.89,12.34,427.02,2,9.3,flapping,1,A,1,2ry consumer,Terrestrial
Batis senegalensis,54.5,46.8,14.1,4006.47,Observed,NA,NA,NA,NA,900,White et al. (2015),900,White et al. (2015); Quintero et al. (2018),0,Quintero et al. (2018),0,Quintero et al. (2018),450,450,11.71,19.22,5.90,256.53,2,9.6,flapping,1,A,1,2ry consumer,Terrestrial
Batis soror,54.1,47.5,12.3,4036.55,Observed,NA,NA,NA,NA,1550,White et al. (2015),1550,White et al. (2015); Quintero et al. (2018),0,White et al. (2015),0,White et al. (2015); Quintero et al. (2018),775,775,-13.9,25.19,1.22,190.99,2,9.5,flapping,1,A,1,2ry consumer,Terrestrial
Batrachostomus affinis,108.5,81.0,25.3,13804.94,Observed,NA,NA,NA,NA,1600,del Hoyo (2020),1600,del Hoyo (2020); Quintero et al. (2018),0,del Hoyo (2020),0,del Hoyo (2020); Quintero et al. (2018),800,800,NA,NA,NA,NA,1,46.3,flapping,1,B,1,2ry consumer,Terrestrial
