Order_Clements,Family_Clements,Species_Clements,Species_BirdTree,Match.type,Daughter,Status
Caprimulgiformes,Caprimulgidae,Siphonorhis brewsteri,Siphonorhis brewsteri,1BT to many CL,0,Extant
Passeriformes,Thamnophilidae,Sipia laemosticta,Myrmeciza laemosticta,1BT to many CL,0,Extant
Passeriformes,Thamnophilidae,Sipia palliata,Myrmeciza laemosticta,1BT to many CL,1,Extant
Passeriformes,Tyrannidae,Sirystes albocinereus,Sirystes sibilator,1BT to many CL,1,Extant
Passeriformes,Tyrannidae,Sirystes sibilator,Sirystes sibilator,1BT to many CL,0,Extant
Passeriformes,Tyrannidae,Sirystes subcanescens,Sirystes sibilator,1BT to many CL,1,Extant
Passeriformes,Sittidae,Sitta castanea,Sitta castanea,1BT to many CL,0,Extant
Passeriformes,Sittidae,Sitta cinnamoventris,Sitta castanea,1BT to many CL,1,Extant
Passeriformes,Sittidae,Sitta insularis,Sitta pusilla,1BT to many CL,1,Extant
Passeriformes,Sittidae,Sitta leucopsis,Sitta leucopsis,1BT to many CL,0,Extant
Passeriformes,Sittidae,Sitta neglecta,Sitta castanea,1BT to many CL,1,Extant
Passeriformes,Sittidae,Sitta przewalskii,Sitta leucopsis,1BT to many CL,1,Extant
Passeriformes,Sittidae,Sitta pusilla,Sitta pusilla,1BT to many CL,0,Extant
Passeriformes,Paridae,Sittiparus castaneoventris,Parus varius,1BT to many CL,1,Extant
Passeriformes,Paridae,Sittiparus olivaceus,Parus varius,1BT to many CL,1,Extant
Passeriformes,Paridae,Sittiparus owstoni,Parus varius,1BT to many CL,1,Extant
Passeriformes,Paridae,Sittiparus varius,Parus varius,1BT to many CL,0,Extant
Passeriformes,Thraupidae,Sporophila beltoni,Sporophila plumbea,1BT to many CL,1,Extant
Passeriformes,Thraupidae,Sporophila bouvreuil,Sporophila bouvreuil,1BT to many CL,0,Extant
Passeriformes,Thraupidae,Sporophila morelleti,Sporophila torqueola,1BT to many CL,1,Extant
Passeriformes,Thraupidae,Sporophila pileata,Sporophila bouvreuil,1BT to many CL,1,Extant
Passeriformes,Thraupidae,Sporophila plumbea,Sporophila plumbea,1BT to many CL,0,Extant
Passeriformes,Thraupidae,Sporophila torqueola,Sporophila torqueola,1BT to many CL,0,Extant
Caprimulgiformes,Trochilidae,Stephanoxis lalandi,Stephanoxis lalandi,1BT to many CL,0,Extant
Caprimulgiformes,Trochilidae,Stephanoxis loddigesii,Stephanoxis lalandi,1BT to many CL,1,Extant
Columbiformes,Columbidae,Streptopelia bitorquata,Streptopelia bitorquata,1BT to many CL,0,Extant
Columbiformes,Columbidae,Streptopelia dusumieri,Streptopelia bitorquata,1BT to many CL,1,Extant
Strigiformes,Strigidae,Strix aluco,Strix aluco,1BT to many CL,0,Extant
Strigiformes,Strigidae,Strix butleri,Strix butleri,1BT to many CL,0,Extant
Strigiformes,Strigidae,Strix hadorami,Strix butleri,1BT to many CL,1,Extant
Strigiformes,Strigidae,Strix mauritanica,Strix aluco,1BT to many CL,1,Extant
Strigiformes,Strigidae,Strix nivicolum,Strix aluco,1BT to many CL,1,Extant
Strigiformes,Strigidae,Strix sartorii,Strix varia,1BT to many CL,1,Extant
Strigiformes,Strigidae,Strix varia,Strix varia,1BT to many CL,0,Extant
Struthioniformes,Struthionidae,Struthio camelus,Struthio camelus,1BT to many CL,0,Extant
Struthioniformes,Struthionidae,Struthio molybdophanes,Struthio camelus,1BT to many CL,1,Extant
Passeriformes,Sturnidae,Sturnia blythii,Sturnus malabaricus,1BT to many CL,1,Extant
Passeriformes,Sturnidae,Sturnia malabarica,Sturnus malabaricus,1BT to many CL,0,Extant
Cuculiformes,Cuculidae,Surniculus dicruroides,Surniculus lugubris,1BT to many CL,1,Extant
Cuculiformes,Cuculidae,Surniculus lugubris,Surniculus lugubris,1BT to many CL,0,Extant
Cuculiformes,Cuculidae,Surniculus musschenbroeki,Surniculus lugubris,1BT to many CL,1,Extant
Passeriformes,Sylviidae,Sylvia abyssinica,Pseudoalcippe abyssinica,1BT to many CL,0,Extant
Passeriformes,Sylviidae,Sylvia atriceps,Pseudoalcippe abyssinica,1BT to many CL,1,Extant
Passeriformes,Furnariidae,Synallaxis chinchipensis,Synallaxis stictothorax,1BT to many CL,1,Extant
Passeriformes,Furnariidae,Synallaxis stictothorax,Synallaxis stictothorax,1BT to many CL,0,Extant
Galliformes,Phasianidae,Synoicus adansonii,Coturnix chinensis,1BT to many CL,1,Extant
Galliformes,Phasianidae,Synoicus chinensis,Coturnix chinensis,1BT to many CL,0,Extant
Charadriiformes,Alcidae,Synthliboramphus hypoleucus,Synthliboramphus hypoleucus,1BT to many CL,0,Extant
Charadriiformes,Alcidae,Synthliboramphus scrippsi,Synthliboramphus hypoleucus,1BT to many CL,1,Extant
Caprimulgiformes,Caprimulgidae,Systellura decussata,Caprimulgus longirostris,1BT to many CL,1,Extant
Caprimulgiformes,Caprimulgidae,Systellura longirostris,Caprimulgus longirostris,1BT to many CL,0,Extant
Strigiformes,Strigidae,Taenioptynx brodiei,Glaucidium brodiei,1BT to many CL,0,Extant
Strigiformes,Strigidae,Taenioptynx sylvaticus,Glaucidium brodiei,1BT to many CL,1,Extant
Coraciiformes,Alcedinidae,Tanysiptera nigriceps,Tanysiptera sylvia,1BT to many CL,1,Extant
Coraciiformes,Alcedinidae,Tanysiptera sylvia,Tanysiptera sylvia,1BT to many CL,0,Extant
Passeriformes,Muscicapidae,Tarsiger cyanurus,Tarsiger cyanurus,1BT to many CL,0,Extant
Passeriformes,Muscicapidae,Tarsiger rufilatus,Tarsiger cyanurus,1BT to many CL,1,Extant
Passeriformes,Vangidae,Tephrodornis affinis,Tephrodornis pondicerianus,1BT to many CL,1,Extant
Passeriformes,Vangidae,Tephrodornis pondicerianus,Tephrodornis pondicerianus,1BT to many CL,0,Extant
