Species_BirdTree,Migration,Ref.1_max.elevation,Ref.1_min.elevation,Ref.2_max.elevation,Ref.2_min.elevation,Updated_max.elevation,Updated_min.elevation,Source_updated.elevation
Accipiter collaris,2,1800,600,2500,1000,2200,500,del Hoyo (2020)
Accipiter cooperii,3,NA,NA,2500,0,3000,0,del Hoyo (2020)
Accipiter erythrauchen,1,1400,0,NA,NA,NA,NA,NA
Accipiter erythronemius,3,NA,NA,1000,0,1000,0,del Hoyo (2020)
Accipiter erythropus,1,NA,NA,1500,0,NA,NA,NA
Accipiter fasciatus,1,1500,0,1500,0,NA,NA,NA
Accipiter francesiae,1,NA,NA,1800,0,NA,NA,NA
Accipiter gentilis,2,NA,NA,3000,0,3000,0,del Hoyo (2020)
Accipiter griseiceps,1,2000,0,2000,0,NA,NA,NA
Accipiter gularis,3,NA,NA,1800,0,1800,0,del Hoyo (2020)
Accipiter gundlachi,1,800,0,800,0,NA,NA,NA
Accipiter haplochrous,1,1300,0,NA,NA,NA,NA,NA
Accipiter henicogrammus,1,1300,0,NA,NA,NA,NA,NA
Accipiter henstii,1,1800,0,1000,0,2000,0,del Hoyo (2020)
Accipiter imitator,1,1000,0,1000,0,NA,NA,NA
Accipiter luteoschistaceus,1,700,0,1000,0,700,0,del Hoyo (2020)
Accipiter madagascariensis,1,NA,NA,1500,0,NA,NA,NA
Accipiter melanochlamys,1,3000,1200,3500,1090,3500,1000,del Hoyo (2020)
Accipiter melanoleucus,1,NA,NA,3700,0,NA,NA,NA
Accipiter meyerianus,1,2700,0,2700,0,NA,NA,NA
Accipiter minullus,1,NA,NA,1800,0,NA,NA,NA
Accipiter nanus,1,2000,900,2250,900,NA,NA,NA
Accipiter nisus,2,NA,NA,4500,0,4500,0,del Hoyo (2020)
Accipiter novaehollandiae,1,1450,0,1480,0,1600,0,del Hoyo (2020)
Accipiter ovampensis,1,NA,NA,1800,0,NA,NA,NA
Accipiter poliocephalus,1,1500,0,1500,0,NA,NA,NA
Accipiter poliogaster,2,500,NA,1950,0,2000,0,del Hoyo (2020)
Accipiter princeps,1,1430,760,1425,760,NA,NA,NA
Accipiter rhodogaster,1,2000,0,2000,0,NA,NA,NA
Accipiter rufitorques,1,900,0,NA,NA,NA,NA,NA
Accipiter rufiventris,1,NA,NA,3700,0,NA,NA,NA
Accipiter soloensis,3,NA,NA,1500,0,1500,0,del Hoyo (2020)
Accipiter striatus,3,3700,0,3500,0,3500,0,del Hoyo (2020)
Accipiter superciliosus,1,1500,NA,1800,0,1800,0,del Hoyo (2020)
Accipiter tachiro,1,3000,0,3000,0,NA,NA,NA
Accipiter toussenelii,1,NA,NA,3000,0,NA,NA,NA
Accipiter trinotatus,1,1600,0,1600,0,NA,NA,NA
